<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*I..N..C..Ind.,20220703,6600,6640,6530,6570,5.69E+11,86570273,6032,D,6680,6580
S*I..N..C..Ind.,20220702,6650,6750,6580,6680,7.86E+11,117817935,4930,D,6740,6640
S*I..N..C..Ind.,20220629,6770,6770,6680,6740,3.64E+11,54052654,3437,D,6740,6750
S*I..N..C..Ind.,20220628,6750,6800,6700,6740,6.11E+11,90692641,4911,D,6720,6740
S*I..N..C..Ind.,20220627,6640,6820,6640,6720,7.81E+11,116348740,5920,D,6710,6740
S*I..N..C..Ind.,20220626,6890,6900,6610,6710,7.40E+11,110295397,8219,D,6940,6710
S*I..N..C..Ind.,20220625,6810,7050,6810,6940,1.33E+12,191120793,12585,D,7180,6940
S*I..N..C..Ind.,20220622,7260,7290,7110,7180,3.77E+11,52524876,6930,D,7300,7180
S*I..N..C..Ind.,20220621,7380,7380,7270,7300,2.94E+11,40325542,3974,D,7370,7290
S*I..N..C..Ind.,20220620,7400,7440,7320,7370,4.29E+11,58151901,4587,D,7400,7360
S*I..N..C..Ind.,20220619,7490,7500,7360,7400,5.43E+11,73304171,4293,D,7440,7430
S*I..N..C..Ind.,20220618,7470,7510,7370,7440,7.68E+11,103122785,5198,D,7520,7500
S*I..N..C..Ind.,20220615,7600,7630,7470,7520,4.78E+11,63638311,4070,D,7650,7510
S*I..N..C..Ind.,20220614,7750,7760,7580,7650,5.20E+11,67932339,5892,D,7720,7660
S*I..N..C..Ind.,20220613,7540,7800,7520,7720,8.92E+11,115512590,8597,D,7470,7720
S*I..N..C..Ind.,20220612,7400,7550,7360,7470,8.11E+11,108484368,6152,D,7370,7540
S*I..N..C..Ind.,20220611,7430,7440,7310,7370,5.79E+11,78470828,4974,D,7340,7420
S*I..N..C..Ind.,20220608,7310,7460,7290,7340,4.72E+11,64334729,4556,D,7310,7450
S*I..N..C..Ind.,20220607,7250,7370,7220,7310,4.99E+11,68210196,4221,D,7320,7330
S*I..N..C..Ind.,20220606,7360,7400,7250,7320,8.01E+11,109524713,6439,D,7400,7250
S*I..N..C..Ind.,20220601,7430,7450,7280,7400,4.06E+11,54943182,4200,D,7400,7410
S*I..N..C..Ind.,20220531,7270,7440,7270,7400,4.88E+11,65985643,4793,D,7310,7430
S*I..N..C..Ind.,20220530,7390,7390,7220,7310,5.03E+11,68798570,4941,D,7280,7330
S*I..N..C..Ind.,20220529,7240,7380,7210,7280,6.24E+11,85790770,5600,D,7360,7380
S*I..N..C..Ind.,20220528,7400,7410,7190,7360,7.59E+11,103172073,7491,D,7400,7400
S*I..N..C..Ind.,20220525,7400,7460,7360,7400,5.43E+11,73465016,6534,D,7450,7410
S*I..N..C..Ind.,20220524,7470,7500,7370,7450,6.16E+11,82695197,5159,D,7480,7460
S*I..N..C..Ind.,20220523,7560,7580,7370,7480,8.69E+11,116217564,7431,D,7550,7490
S*I..N..C..Ind.,20220522,7550,7600,7520,7550,5.38E+11,71305270,5445,D,7540,7550
S*I..N..C..Ind.,20220521,7500,7580,7450,7540,4.97E+11,65938163,5862,D,7590,7540
S*I..N..C..Ind.,20220518,7570,7660,7430,7590,1.51E+12,199389882,10668,D,7610,7620
S*I..N..C..Ind.,20220517,7600,7700,7460,7610,1.08E+12,141693922,13270,D,7390,7570
S*I..N..C..Ind.,20220516,7320,7590,7260,7390,1.90E+12,257669768,16493,D,7270,7490
S*I..N..C..Ind.,20220515,7390,7390,7170,7270,5.76E+11,79230101,8607,D,7350,7350
S*I..N..C..Ind.,20220514,7410,7480,7260,7350,7.95E+11,108201824,10875,D,7370,7370
S*I..N..C..Ind.,20220511,7320,7460,7320,7370,8.02E+11,108830706,9470,D,7340,7350
S*I..N..C..Ind.,20220510,7370,7410,7260,7340,6.67E+11,90900697,7857,D,7400,7310
S*I..N..C..Ind.,20220509,7500,7500,7330,7400,9.55E+11,129089713,8632,D,7470,7400
S*I..N..C..Ind.,20220508,7480,7520,7420,7470,7.62E+11,101989740,9914,D,7480,7500
S*I..N..C..Ind.,20220507,7510,7510,7420,7480,9.26E+11,123906611,9390,D,7500,7490
S*I..N..C..Ind.,20220502,7460,7600,7330,7500,9.06E+11,120844389,7978,D,7470,7590
S*I..N..C..Ind.,20220501,7500,7500,7430,7470,5.13E+11,68683753,7063,D,7550,7500
S*I..N..C..Ind.,20220430,7590,7600,7460,7550,7.07E+11,93701480,6580,D,7590,7540
S*I..N..C..Ind.,20220427,7550,7610,7500,7590,9.69E+11,127762145,7978,D,7580,7590
S*I..N..C..Ind.,20220426,7590,7630,7520,7580,7.00E+11,92410241,7430,D,7550,7580
S*I..N..C..Ind.,20220425,7510,7610,7430,7550,7.37E+11,97613982,6451,D,7500,7610
S*I..N..C..Ind.,20220424,7590,7590,7380,7500,7.18E+11,95802390,7142,D,7570,7560
S*I..N..C..Ind.,20220420,7560,7610,7540,7570,8.48E+11,112060616,7442,D,7560,7590
S*I..N..C..Ind.,20220419,7510,7610,7430,7560,9.50E+11,125615292,6944,D,7550,7570
S*I..N..C..Ind.,20220418,7500,7680,7450,7550,6.21E+11,82317722,8941,D,7460,7510
S*I..N..C..Ind.,20220417,7460,7490,7370,7460,5.93E+11,79479128,6236,D,7460,7480
S*I..N..C..Ind.,20220416,7420,7520,7410,7460,6.98E+11,93633771,6544,D,7380,7480
S*I..N..C..Ind.,20220413,7180,7450,7180,7380,4.92E+11,66656407,5803,D,7270,7420
S*I..N..C..Ind.,20220412,7390,7440,7240,7270,8.82E+11,121269504,9885,D,7620,7240
S*I..N..C..Ind.,20220411,7630,7690,7560,7620,6.02E+11,78931369,6673,D,7620,7670
S*I..N..C..Ind.,20220410,7640,7780,7540,7620,4.54E+11,59603936,7135,D,7570,7560
S*I..N..C..Ind.,20220409,7520,7690,7370,7570,6.33E+11,83617369,7381,D,7640,7680
S*I..N..C..Ind.,20220406,7730,7770,7540,7640,6.41E+11,83882552,8912,D,7730,7560
S*I..N..C..Ind.,20220405,7700,7880,7610,7730,5.57E+11,72123013,7874,D,7750,7800
S*I..N..C..Ind.,20220404,7900,7900,7600,7750,1.33E+12,171540774,15197,D,7830,7830
S*I..N..C..Ind.,20220403,7500,7850,7480,7830,2.15E+12,274859075,17005,D,7480,7840
S*I..N..C..Ind.,20220330,7440,7600,7300,7480,4.89E+11,65341072,6231,D,7450,7540
S*I..N..C..Ind.,20220329,7540,7620,7330,7450,4.51E+11,60565903,7501,D,7530,7350
S*I..N..C..Ind.,20220328,7540,7590,7470,7530,4.97E+11,66008348,8866,D,7590,7540
S*I..N..C..Ind.,20220327,7700,7700,7500,7590,4.74E+11,62472258,8199,D,7540,7540
S*I..N..C..Ind.,20220326,7360,7600,7320,7540,8.34E+11,110666480,10743,D,7240,7600
S*I..N..C..Ind.,20220319,7060,7410,7030,7240,7.71E+11,106481869,7197,D,7060,7400
S*I..N..C..Ind.,20220316,6950,7130,6920,7060,7.09E+11,100396813,4882,D,6970,7120
S*I..N..C..Ind.,20220315,6960,7040,6910,6970,6.87E+11,98470406,4888,D,6960,7030
S*I..N..C..Ind.,20220314,6960,6990,6940,6960,5.22E+11,74976429,4258,D,6960,6960
S*I..N..C..Ind.,20220313,6900,7020,6890,6960,5.24E+11,75359302,4637,D,6970,6940
S*I..N..C..Ind.,20220312,7040,7050,6920,6970,3.81E+11,54621153,5847,D,7170,6920
S*I..N..C..Ind.,20220309,7170,7280,7090,7170,5.40E+11,75320369,7079,D,7170,7130
S*I..N..C..Ind.,20220308,7130,7350,6960,7170,1.21E+12,169276864,9870,D,7150,7200
S*I..N..C..Ind.,20220307,7190,7240,7060,7150,1.01E+12,141938453,9551,D,7060,7130
S*I..N..C..Ind.,20220306,7040,7150,6970,7060,1.02E+12,144283915,9780,D,6900,7140
S*I..N..C..Ind.,20220305,6800,7020,6750,6900,1.21E+12,175316086,10295,D,6690,7020
S*I..N..C..Ind.,20220302,6720,6790,6650,6690,2.41E+11,35979669,4417,D,6690,6660
S*I..N..C..Ind.,20220228,6750,6750,6640,6690,3.29E+11,49125623,5919,D,6760,6710
S*I..N..C..Ind.,20220227,6800,6830,6710,6760,3.31E+11,48990697,6454,D,6950,6750
S*I..N..C..Ind.,20220226,7030,7040,6800,6950,4.28E+11,61552708,6066,D,7030,6830
S*I..N..C..Ind.,20220223,7050,7090,7010,7030,8.34E+11,118592907,5439,D,7030,7050
S*I..N..C..Ind.,20220222,6990,7110,6980,7030,1.06E+12,150883974,6794,D,6980,7100
S*I..N..C..Ind.,20220221,7020,7030,6920,6980,5.04E+11,72248671,6218,D,7020,6970
S*I..N..C..Ind.,20220220,7020,7030,7010,7020,8.53E+11,121459905,5774,D,7020,7030
S*I..N..C..Ind.,20220219,7010,7030,7000,7020,9.45E+11,134712349,8634,D,7010,7020
